# backend	cd
# started_utc	20260901T014931Z
# cases	A1 B1 B2 C1 C2 C3 C4 C5 C6 C7
# churn	3 x 12s
# local_host	192.168.0.104
# peer_host	192.168.0.156
# image_id	b46e2770-7777-486b-8c87-db84a8fb34c5
# git_commit	f22c452ee
# host	Linux 6.14.0-37-generic x86_64
case	status	detail
A1	PASS	대상 백엔드만 기동됨
B1	PASS	단일노드 세션 (RUNNING)
B2	PASS	RUNNING 이고 두 노드에 갈림 (main1@local, sub1@peer)
C1	PASS	sub1=10.128.28.2 main1=10.128.28.1
C2	FAIL	main1→sub1='100% packet loss' sub1→main1='100% packet loss'
C3	PASS	sub1=10.128.28.2 main1=10.128.27.1
C4	FAIL	main1→sub1='FAIL:TimeoutError' sub1→main1='FAIL:TimeoutError'
C5	FAIL	무단편 페이로드 1472B, 인터페이스 MTU 1450B 기준 기대 1422B — 언더레이가 더 작다는 뜻
C6	PASS	컨테이너에서 바깥으로 TCP 성립
C7	PASS	다른 세션의 컨테이너(172.30.0.194)에 닿지 않음 (FAIL:TimeoutError), 그 세션 자신은 닿음
# finished_utc	20260901T015232Z
# pass	7
# fail	3
# skip	0
